BINARY;VERSION;CVE identifier;CVSS rating;exploit db exploit available;metasploit module;trickest PoC;Routersploit;Snyk PoC;Packetstormsecurity PoC;local exploit;remote exploit;DoS exploit;known exploited vuln;kernel vulnerability verified;
dnsmasq;2.41;CVE-2019-14513;7.5;6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2013-0198;5.0 (v2);6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2020-25682;8.1;6;0;0;0/0;0;0;0;0;no;
miniupnpd;1.7;CVE-2019-12109;5.0 (v2);6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2015-8899;5.0 (v2);6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2012-3411;5.0 (v2);6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2015-3294;6.4 (v2);6;0;0;0/0;0;0;0;0;no;
busybox;1.13.4;CVE-2015-9261;5.5;6;0;0;0/0;CVE-2015-9261;Cisco Device Hardcoded Credentials / GNU glibc;https://packetstormsecurity.com/files/154361/Cisco-Device-Hardcoded-Credentials-GNU-glibc-BusyBox.html;unknown;CVE-2015-9261;Nexans FTTO GigaSwitch Outdated Components / Hardcoded;https://packetstormsecurity.com/files/167552/Nexans-FTTO-GigaSwitch-Outdated-Components-Hardcoded-Backdoor.html;unknown;CVE-2015-9261;WAGO 852 Industrial Managed Switch Series Code;https://packetstormsecurity.com/files/153278/WAGO-852-Industrial-Managed-Switch-Series-Code-Execution-Hardcoded-Credentials.html;unknown;0;0;0;0;no;
dnsmasq;2.41;CVE-2022-0934;7.5;6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2017-15107;5.0 (v2);6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2020-25686;3.7;6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2017-13704;5.0 (v2);6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2020-25681;8.1;6;0;0;0/0;0;0;0;0;no;
busybox;1.13.4;CVE-2013-1813;7.2 (v2);6;0;0;0/0;CVE-2013-1813;WAGO 852 Industrial Managed Switch Series Code;https://packetstormsecurity.com/files/153278/WAGO-852-Industrial-Managed-Switch-Series-Code-Execution-Hardcoded-Credentials.html;unknown;0;0;0;0;no;
dnsmasq;2.41;CVE-2023-28450;7.5;6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2019-14834;3.7;6;0;0;0/0;0;0;0;0;no;
busybox;1.13.4;CVE-2018-20679;5.0 (v2);6;0;0;0/0;CVE-2018-20679;Cisco Device Hardcoded Credentials / GNU glibc;https://packetstormsecurity.com/files/154361/Cisco-Device-Hardcoded-Credentials-GNU-glibc-BusyBox.html;unknown;0;0;0;0;no;
busybox;1.13.4;CVE-2018-1000517;9.8;6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2021-3448;4.0;6;0;0;0/0;0;0;0;0;no;
busybox;1.13.4;CVE-2018-1000500;8.1;6;0;0;0/0;0;0;0;0;no;
dnsmasq;2.41;CVE-2020-25685;3.7;6;0;0;0/0;0;0;0;0;no;
busybox;1.13.4;CVE-2014-9645;2.1 (v2);6;0;0;0/0;0;0;0;0;no;
mini_httpd;1.19;CVE-2009-4490;5.0 (v2);12;0;0;0/0;CVE-2009-4490;Nginx, Varnish, Cherokee, etc Log Injection;https://packetstormsecurity.com/files/85018/Nginx-Varnish-Cherokee-etc-Log-Injection.html;unknown;0;0;0;0;no;
